Region	Cohorte	Total
Santanderes	2015	1
Santanderes	2014	6
Santanderes	2013	4
Santanderes	2012	9
Santanderes	2010	1
Santanderes	2009	3
Santanderes	2008	6
Santanderes	2007	2
Santanderes	2006	1
Santanderes	2005	5
Santanderes	2004	2
Santanderes	2003	3
Santanderes	2001	1
Santanderes	2000	2
Santanderes	1999	2
Santanderes	1997	1
Santanderes	1996	1
Santanderes	1995	1
Santanderes	1994	1
Santanderes	1992	1
Santanderes	1991	1
Santanderes	1990	1
Santanderes	1989	1
Santanderes	1988	7
Santanderes	1987	2
Santanderes	1986	2
Santanderes	1985	2
Santanderes	1984	2
Santanderes	1983	1
Santanderes	1982	4
Santanderes	1981	2
Santanderes	1980	3
Santanderes	1979	1
Santanderes	1978	1
Santanderes	1976	1